pl_discmethod,Period[days],Mass[Jupiter Mass]
Radial Velocity,326.03,19.4
Radial Velocity,516.21997,14.74
Radial Velocity,185.84,4.8
Radial Velocity,1773.40002,4.66
Radial Velocity,798.5,1.78
Radial Velocity,993.3,10.3
Radial Velocity,30.3506,0.91
Radial Velocity,452.8,1.99
Radial Velocity,883.0,0.86
Eclipse Timing Variations,416.0,1.9
Imaging,7336.5,20.95
Radial Velocity,335.10001,13.82
Radial Velocity,269.3,7.1
Radial Velocity,479.1,3.88
Radial Velocity,1078.0,2.53
Radial Velocity,2391.0,0.54
Radial Velocity,14002.0,1.64
Radial Velocity,4.230785,0.472
Radial Velocity,14.65152,0.8306
Radial Velocity,44.4175,0.1714
Radial Velocity,4825.0,3.878
Radial Velocity,0.736539,0.02542
Radial Velocity,262.0,0.141
Radial Velocity,934.3,2.01
Radial Velocity,4.215,0.016
Radial Velocity,38.021,0.057
Radial Velocity,123.01,0.072
Radial Velocity,735.1,1.85
Radial Velocity,996.0,0.87
Radial Velocity,116.688,7.416
Radial Velocity,691.9,3.0
Radial Velocity,93.4,1.31
Radial Velocity,952.7,5.3
Radial Velocity,181.4,3.2
Transit,8.46321,0.18
Radial Velocity,481.9,6.4
Radial Velocity,268.94,1.04
Radial Velocity,153.22,1.061
Radial Velocity,137.48,1.11
Radial Velocity,379.63,55.59
Radial Velocity,621.99,12.47
Radial Velocity,578.2,4.2
Transit,41.6855,0.07
Radial Velocity,392.6,0.91
Radial Velocity,733.0,1.7
Radial Velocity,2590.0,1.6
Radial Velocity,3.8728,0.027
Radial Velocity,125.94,0.17
Radial Velocity,5.6,0.04
Radial Velocity,237.6,0.33
Radial Velocity,3.48777,0.59
Radial Velocity,1634.0,0.65
Radial Velocity,74.2,0.04836
Radial Velocity,714.29999,9.78
Radial Velocity,655.6,5.1
Imaging,10037.5,10.5
Radial Velocity,8.9891,11.6
Transit,1.5089557,1.03
Transit,13.2406,2.75
Transit,2.99433,2.33
Transit,2.828042,0.917
Transit,4.03519,1.308
Transit,1.51214,7.6
Transit,5.35227,0.535
Transit,3.7681,2.43
Transit,1.9000693,3.47
Transit,3.89713,1.11
Transit,1.7429935,3.47
Transit,9.24285,4.3
Radial Velocity,1675.0,17.0
Transit,2.72474,2.26
Transit,9.75598,0.038
Transit,3.6313,2.8
Transit,5.1134,0.018
Transit,11.759,0.088
Transit,4.86069,0.27
Transit,4.20474,0.52
Transit,3.57532,10.39
Transit,5.20851,0.484
Transit,2.85057,0.85
Transit,4.2568,21.66
Transit,9.06005,2.9
Transit,4.62941,0.84
Transit,9.20205,0.72
Transit,4.0378962,0.467
Transit,8.886593,2.96
Transit,0.85359163,0.01283
Radial Velocity,3.698,0.02643
Transit,6.21229,0.22
Transit,95.272656,0.84
Transit,6.71837,0.15
Eclipse Timing Variations,4098.1,12.0293
Astrometry,246.36,28.5
Radial Velocity,18.57,0.07636
Radial Velocity,6.584,0.0302
Radial Velocity,2.882,0.01054
Radial Velocity,5.516,0.01299
Radial Velocity,5.2072,0.437
Radial Velocity,6.6732,0.00812
Eclipse Timing Variations,10220.0,6.05
Transit,6.180235,3.0
Transit,3650.0,13.0
Transit,3.5951,0.02753
Transit,15.624,0.04616
Transit,35.747,0.03203
Radial Velocity,3.204,0.00431
Radial Velocity,6.689,0.00547
Radial Velocity,13.031,0.00516
Transit,1.628931,0.00522
Radial Velocity,8.929,0.00831
Radial Velocity,41.38,0.30425
Radial Velocity,532.58,0.21414
Transit,1.58040456,0.0197
Transit,0.5182349,0.00658
Radial Velocity,3.6511,0.02328
Transit,35.61253,0.07142
Radial Velocity,11.4407,0.00953
Radial Velocity,7600.0,0.11327
Radial Velocity,5.2354,0.03209
Radial Velocity,8.63182,0.03335
Radial Velocity,25.63058,0.0214
Radial Velocity,603.95116,0.0925
Radial Velocity,2288.0,0.82
Radial Velocity,17.133,0.02042
Radial Velocity,24.329,0.02014
Radial Velocity,106.3,0.02379
Radial Velocity,69.971,0.05097
Radial Velocity,121.995,0.02287
Radial Velocity,526.115,0.02667
Radial Velocity,15.819,0.0409
Radial Velocity,18.6498,0.00909
Radial Velocity,4.7234,0.00371
Radial Velocity,133.71,3.37
Radial Velocity,11.949,0.0258
Radial Velocity,1.22003,0.0056
Radial Velocity,5.974,0.01315
Radial Velocity,257.8,0.03304
Radial Velocity,695.66,1.75282
Radial Velocity,6739.323,1.64396
Radial Velocity,4100.0,2.3
Radial Velocity,30.5987,0.07406
Radial Velocity,122.6196,0.06636
Radial Velocity,48.1345,0.02391
Radial Velocity,13.2543,0.01032
Radial Velocity,5.3636,0.00636
Radial Velocity,40.54,0.00727
Radial Velocity,14.207,0.0208
Radial Velocity,24.45,0.03231
Radial Velocity,3.3366496,0.04373
Transit,1.1980035,0.00585
Radial Velocity,15.509,0.02331
Radial Velocity,203.59,0.463
Transit,3.93072,0.00579
Radial Velocity,9.1247,0.0107
Radial Velocity,55.661,0.01919
Radial Velocity,2.64561,0.026
Radial Velocity,3.0232,0.02517
Radial Velocity,6.905,0.02246
Radial Velocity,2.64977,0.00777
Radial Velocity,13.74,0.0197
Radial Velocity,12.9532,0.00941
Radial Velocity,20.129,0.03483
Radial Velocity,13.352,0.05213
Radial Velocity,7.3705,0.01901
Radial Velocity,5094.105,0.10201
Radial Velocity,36.059,0.01643
Radial Velocity,2.64388312,0.07
Radial Velocity,9.567,0.04153
Radial Velocity,8.7076,0.01686
Radial Velocity,5.3686,0.0497
Radial Velocity,12.914,0.0173
Radial Velocity,3.149,0.0053
Radial Velocity,14.628,0.00887
Radial Velocity,598.3,0.328
Radial Velocity,7.2004,0.018
Radial Velocity,28.14,0.012
Radial Velocity,62.24,0.008
Radial Velocity,39.026,0.008
Radial Velocity,256.2,0.014
Radial Velocity,4.6938,0.035
Radial Velocity,1056.80005,4.96
Radial Velocity,7337.0,6.8
Radial Velocity,3.6005,0.014
Radial Velocity,35.39,0.025
Radial Velocity,17.478,0.01384
Radial Velocity,57.32,0.02737
Radial Velocity,24.16,0.02832
Radial Velocity,38.142,0.05412
Radial Velocity,727.562,0.05034
Radial Velocity,3657.0,0.68
Radial Velocity,35.68,0.017
Radial Velocity,1882.0,1.0
Radial Velocity,15.76491,4.42
Radial Velocity,61.1166,2.2756
Radial Velocity,30.0881,0.7142
Radial Velocity,1.93778,0.021
Radial Velocity,124.26,0.046
Radial Velocity,9.262,0.01321
Radial Velocity,21.789,0.02391
Radial Velocity,241.883,0.09722
Radial Velocity,767.887,0.22528
Radial Velocity,73.94,0.06186
Transit,1.2089819,0.01545
Transit,3.6480957,0.00264
Transit,6.2014698,0.01271
Radial Velocity,3.822,0.04097
Radial Velocity,13.8508,0.01771
Radial Velocity,15.53,0.02084
Transit,4.46529976,0.525
Transit,4.88780244,0.07362
Radial Velocity,3407.0,1.59519
Transit,3.2130598,0.211
Transit,2.91625,0.851
Radial Velocity,446.27,14.28
Transit,4.62767,3.44
Transit,10.8635,1.94
Transit,2.77596,4.193
Transit,10.33852,0.58
Radial Velocity,5584.0,3.4
Transit,5.508023,0.197
Transit,4.008778,0.292
Transit,5.6335158,8.62
Transit,2.875317,7.246
Transit,4.12448,4.87
Transit,3.21222,2.47
Transit,1.21288,1.34
Transit,3.35524,0.75
Transit,3.65281514,0.569
Transit,4.23452,0.07
Transit,3.039577,0.62
Transit,3.257215,0.626
Transit,5.72319,0.88
Transit,2.8997,0.65
Transit,2.8106,0.83
Transit,5.00542,2.27
Transit,2.1500082,0.68
Transit,3.47447,0.92
Transit,5.452654,3.33
Transit,3.646706,1.056
Transit,1.32734683,1.8482
Transit,2.797436,1.169
Transit,4.640382,0.267
Transit,3.54387,0.599
Transit,3.056536,0.671
Transit,4.45724,0.48
Transit,2.69405,1.19
Transit,4.641878,1.044
Transit,3.332687,0.662
Transit,4.301219,0.352
Radial Velocity,872.2,4.0
Transit,3.128992,0.892
Transit,4.463129,0.493
Transit,2.69155,2.2
Transit,2.78849,0.98
Transit,3.1220109,1.35
Transit,4.2180278,0.309
Transit,2.7535953,0.818
Transit,1.9616241,1.484
Transit,3.799847,0.76
Transit,3.5852467,0.582
Transit,2.79083,2.31
Transit,2.4653,1.41
Transit,3.85298,1.32
Transit,2.6054552,0.527
Transit,2.972086,0.783
Transit,4.8101025,0.34
Transit,2.29840551,0.724
Transit,4.7869491,3.58
Transit,2.20474,1.84
Transit,2.74432452,6.78
Transit,3.07634,1.28
Transit,3.92281072,0.749
Transit,3.446459,1.855
Transit,3.312846,0.526
Transit,3.0440499,0.543
Transit,2.7667641,1.071
Transit,1.74748753,2.17
Transit,2.686502,3.27
Transit,16.254611,1.338
Transit,0.83784,1.9795
Transit,1.354133,1.345
Transit,4.7228124,2.74
Transit,2.1605156,1.47
Transit,1.3484978,2.26
Transit,4.2986432,0.613
Transit,3.3023881,0.65
Transit,4.637038,0.53
Transit,3.1810781,0.672
Transit,4.6058749,0.653
Transit,3.547851,1.071
Transit,3.1743516,0.706
Transit,3.37796,0.88
Transit,2.8126548,0.92
Transit,2.5495551,1.192
Transit,2.1061607,0.941
Transit,1.8209993,1.222
Transit,4.3315366,0.099
Transit,4.375021,0.074
Transit,4.5776348,0.63
Transit,2.516729,1.323
Transit,3.2642736,1.59
Transit,4.193649,9.7
Transit,2.292102,1.88
Transit,4.3888497,0.261
Transit,2.7439004,0.56
Transit,4.1876244,0.7
Transit,4.7423729,0.173
Transit,3.9228038,0.369
Transit,3.1316666,0.243
Transit,4.1480467,0.353
Transit,4.763387,0.237
Transit,3.8297015,0.39
Transit,3.3488702,0.768
Transit,1.36665436,2.24
Transit,3.8537768,0.595
Transit,2.5441828,0.76
Transit,4.2042001,0.921
Transit,4.324799,0.602
Transit,2.350621,3.147
Transit,4.2180896,1.03
Transit,5.416081,0.806
Radial Velocity,1422.0,12.7
Transit,3.3252725,0.319
Transit,3.560829,0.662
Transit,7.817953,3.4
Transit,3.2768837,0.179
Transit,3.0566527,0.96
Transit,4.908897,0.96
Transit,3.105161,0.821
Transit,3.1414391,5.33
Transit,1.6091788,1.45
Transit,3.5862202,1.29
Transit,2.2252577,0.577
Transit,3.185315,0.12
Transit,1.8882378,12.9
Transit,3.7955202,0.37
Transit,7.3279474,0.1254
Transit,3.583893,0.138
Radial Velocity,157.57001,1.61
Radial Velocity,383.70001,1.03
Radial Velocity,5.75969,0.0416
Radial Velocity,16.357,0.0378
Radial Velocity,49.748,0.0805
Radial Velocity,122.744,0.0722
Radial Velocity,604.67,0.0732
Radial Velocity,2205.0,0.2066
Radial Velocity,70.46,0.25
Radial Velocity,20.8133,0.17
Radial Velocity,4.11377,0.41
Radial Velocity,127.58,4.94
Radial Velocity,778.09998,8.16
Radial Velocity,1123.0,1.52
Radial Velocity,122.1,0.05
Radial Velocity,3090.942,0.35837
Radial Velocity,6.4947,0.96
Radial Velocity,47.84,0.09
Radial Velocity,4.5557,0.62
Radial Velocity,5.8881,0.367
Radial Velocity,120.878,0.03524
