pl_discmethod,Period[days],Mass[Jupiter Mass]
Radial Velocity,326.03000000,19.40000
Radial Velocity,516.21997000,14.74000
Radial Velocity,185.84000000,4.80000
Radial Velocity,1773.40002000,4.66000
Radial Velocity,798.50000000,1.78000
Radial Velocity,993.30000000,10.30000
Imaging,,8.00000
Radial Velocity,30.35060000,0.91000
Radial Velocity,452.80000000,1.99000
Radial Velocity,883.00000000,0.86000
Imaging,,13.00000
Imaging,,24.50000
Imaging,,13.90000
Imaging,,7.50000
Imaging,,4.00000
Eclipse Timing Variations,416.00000000,1.90000
Imaging,7336.50000000,20.95000
Imaging,,12.50000
Radial Velocity,335.10001000,13.82000
Radial Velocity,269.30000000,7.10000
Radial Velocity,479.10000000,3.88000
Radial Velocity,1078.00000000,2.53000
Radial Velocity,2391.00000000,0.54000
Radial Velocity,14002.00000000,1.64000
Imaging,11688.00000000,
Radial Velocity,4.23078500,0.47200
Radial Velocity,14.65152000,0.83060
Radial Velocity,44.41750000,0.17140
Radial Velocity,4825.00000000,3.87800
Radial Velocity,0.73653900,0.02542
Radial Velocity,262.00000000,0.14100
Radial Velocity,934.30000000,2.01000
Radial Velocity,4.21500000,0.01600
Radial Velocity,38.02100000,0.05700
Radial Velocity,123.01000000,0.07200
Radial Velocity,735.10000000,1.85000
Radial Velocity,996.00000000,0.87000
Radial Velocity,116.68800000,7.41600
Radial Velocity,691.90000000,3.00000
Radial Velocity,93.40000000,1.31000
Radial Velocity,952.70000000,5.30000
Radial Velocity,181.40000000,3.20000
Imaging,,13.50000
Transit,8.46321000,0.18000
Radial Velocity,481.90000000,6.40000
Radial Velocity,268.94000000,1.04000
Radial Velocity,153.22000000,1.06100
Radial Velocity,137.48000000,1.11000
Radial Velocity,379.63000000,55.59000
Radial Velocity,621.99000000,12.47000
Radial Velocity,578.20000000,4.20000
Transit,41.68550000,0.07000
Radial Velocity,392.60000000,0.91000
Radial Velocity,733.00000000,1.70000
Radial Velocity,2590.00000000,1.60000
Radial Velocity,3.87280000,0.02700
Radial Velocity,125.94000000,0.17000
Radial Velocity,5.60000000,0.04000
Radial Velocity,237.60000000,0.33000
Radial Velocity,3.48777000,0.59000
Radial Velocity,1634.00000000,0.65000
Radial Velocity,74.20000000,0.04836
Radial Velocity,714.29999000,9.78000
Radial Velocity,655.60000000,5.10000
Imaging,10037.50000000,10.50000
Imaging,,12.56900
Radial Velocity,8.98910000,11.60000
Imaging,,17.00000
Transit,1.50895570,1.03000
Transit,13.24060000,2.75000
Transit,2.99433000,2.33000
Transit,2.82804200,0.91700
Transit,4.03519000,1.30800
Transit,1.51214000,7.60000
Transit,5.35227000,0.53500
Transit,3.76810000,2.43000
Transit,1.90006930,3.47000
Transit,3.89713000,1.11000
Transit,1.74299350,3.47000
Transit,9.24285000,4.30000
Radial Velocity,1675.00000000,17.00000
Transit,2.72474000,2.26000
Transit,9.75598000,0.03800
Transit,3.63130000,2.80000
Transit,5.11340000,0.01800
Transit,11.75900000,0.08800
Transit,4.86069000,0.27000
Transit,4.20474000,0.52000
Transit,3.57532000,10.39000
Transit,5.20851000,0.48400
Transit,2.85057000,0.85000
Transit,4.25680000,21.66000
Transit,9.06005000,2.90000
Transit,4.62941000,0.84000
Transit,9.20205000,0.72000
Transit,4.03789620,0.46700
Transit,8.88659300,2.96000
Transit,0.85359163,0.01283
Radial Velocity,3.69800000,0.02643
Transit,6.21229000,0.22000
Transit,95.27265600,0.84000
Transit,6.71837000,0.15000
